Configuration              | Term        |   J |                 Level    |
6s.9d                      | 1D          |   2 |            4.8769185     |
                           |             |     |                          |
5d.8s                      | 3D          |   1 |            4.882846      |
                           |             |   2 |            4.893034      |
                           |             |   3 |            4.977549      |
                           |             |     |                          |
6s.11s                     | 1S          |   0 |            4.918682      |
                           |             |     |                          |
6s.7f                      | 3F*         |   2 |            4.9194665     |
                           |             |   3 |            4.9197828     |
                           |             |   4 |            4.9200803     |
                           |             |     |                          |
6s.7f                      | 1F*         |   3 |            4.9228054     |
                           |             |     |                          |
5d.4f                      | (3/2,5/2)*  |   1 |            4.946161      |
                           |             |     |                          |
6s.11p                     | 3P*         |   1 |            4.948996      |
                           |             |   2 |            4.950787      |
                           |             |     |                          |
6s.10d                     | 3D          |   2 |            4.949718      |
                           |             |     |                          |
6s.11p                     | 1P*         |   1 |            4.957153      |
                           |             |     |                          |
6s.10d                     | 1D          |   2 |            4.959163      |
                           |             |     |                          |
5d.8s                      | 1D          |   2 |            4.987109      |
                           |             |     |                          |
6s.12s                     | 1S          |   0 |            4.988349      |
                           |             |     |                          |
6s.8g                      | 3G          |   3 |            4.996567u     |
                           |             |   4 |            4.996567u     |
                           |             |   5 |            4.996567u     |
                           |             |     |                          |
6s.8g                      | 1G          |   4 |            4.996567u     |
                           |             |     |                          |
6s.12p                     | 3P*         |   1 |            5.008416      |
                           |             |   2 |            5.009788      |
                           |             |     |                          |
6s.11d                     | 3D          |   1 |            5.009880      |
                           |             |   2 |            5.010649      |
                           |             |   3 |            5.011864      |
                           |             |     |                          |
6s.12p                     | 1P*         |   1 |            5.012517      |
                           |             |     |                          |
6s.11d                     | 1D          |   2 |            5.019325      |
                           |             |     |                          |
6s.13s                     | 3S          |   1 |            5.029916      |
                           |             |     |                          |
6s.9f                      | 3F*         |   2 |            5.035478      |
                           |             |     |                          |
6s.13s                     | 1S          |   0 |            5.036015      |
                           |             |     |                          |
5d.4f                      | (5/2,7/2)*  |   1 |            5.041552      |
                           |             |     |                          |
6s.9g                      | 3G          |   3 |            5.041687      |
                           |             |   5 |            5.041887u     |
                           |             |   4 |            5.041887u     |
                           |             |     |                          |
6s.9g                      | 1G          |   4 |            5.041887u     |
                           |             |     |                          |
5d.7d                      | 3D          |   1 |            5.044224      |
                           |             |   2 |            5.071663      |
                           |             |   3 |            5.140308      |
                           |             |     |                          |
5d.7d                      | 3G          |   3 |            5.045983      |
                           |             |   4 |            5.080165      |
                           |             |   5 |            5.151579      |
                           |             |     |                          |
6s.13p                     | 3P*         |   1 |            5.050125      |
                           |             |   2 |            5.051334      |
                           |             |     |                          |
5d.4f                      | (5/2,5/2)*  |   1 |            5.050720      |
                           |             |     |                          |
6s.12d                     | 3D          |   1 |            5.05144       |
                           |             |   2 |            5.052109      |
                           |             |   3 |            5.052133      |
                           |             |     |                          |
6s.13p                     | 1P*         |   1 |            5.054244      |
                           |             |     |                          |
6s.12d                     | 1D          |   2 |            5.056253      |
                           |             |     |                          |
5d.7d                      | 1F          |   3 |            5.066900      |
                           |             |     |                          |
6s.14s                     | 3S          |   1 |            5.06720       |
                           |             |     |                          |
6s.14s                     | 1S          |   0 |            5.069908      |
                           |             |     |                          |
5d.8p                      | 3D*         |   1 |            5.070180      |
                           |             |     |                          |
6s.10f                     | 3F*         |   2 |            5.070351      |
                           |             |     |                          |
6s.10g                     | 3G          |   4 |            5.074104      |
                           |             |   3 |            5.074272u     |
                           |             |   5 |            5.074272u     |
                           |             |     |                          |
6s.10g                     | 1G          |   4 |            5.074272u     |
                           |             |     |                          |
