-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
           Observed  |             Ritz    |    Aki    |    fik    | Acc. |       Ei           Ek                | Configurations   |    Terms   |  Ji   Jk  | gi   gk |Type|
          Wavelength |          Wavelength |    s^-1   |           |      |      (eV)         (eV)               |                  |            |           |         |    |
           Vac (nm)  |           Vac (nm)  |           |           |      |                                      |                  |            |           |         |    |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                     |                     |           |           |      |                                      |                  |            |           |         |    |
      340.0955       |      340.0964594    | 2.36e+03  | 4.09e-06  |      |0.0000000     -     3.645559613       | 5p6.6s - 5p6.11p |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |
                     |                     |           |           |      |                                      |                  |            |           |         |    |
      347.7804       |      347.781611     | 6.27e+04  | 2.27e-04  |      |0.0000000     -     3.56500136        | 5p6.6s - 5p6.10p |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |
      348.1056       |      348.106848     | 6.33e+03  | 1.15e-05  |      |0.0000000     -     3.56167057        | 5p6.6s - 5p6.10p |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |
      361.25015      |      361.249777     | 1.43e+05  | 5.60e-04  |      |0.0000000     -     3.43209046        | 5p6.6s - 5p6.9p  |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |
      361.83400      |      361.833821     | 2.23e+04  | 4.38e-05  |      |0.0000000     -     3.42655065        | 5p6.6s - 5p6.9p  |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |
      387.72473      |      387.7246       | 3.86e+05  | 1.74e-03  |      |0.0000000     -     3.1977392         | 5p6.6s - 5p6.8p  |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |
                     |                     |           |           |      |                                      |                  |            |           |         |    |
      388.9713352    |      388.9713352    | 8.99e+04  | 2.04e-04  |      |0.0000000     -     3.187489157       | 5p6.6s - 5p6.8p  |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |
      411.23241431   |      411.232414317  |           |           |      |0.0000000     -     3.0149420849      | 5p6.6s - 5p6.8s  |  2S  - 2S  | 1/2 - 1/2 |  2 - 2  | 2P |
      441.85837      |      441.858371     |           |           |      |0.0000000     -     2.80597131        | 5p6.6s - 5p6.6d  |  2S  - 2D  | 1/2 - 5/2 |  2 - 6  | E2 |
      442.69685      |      442.696856     |           |           |      |0.0000000     -     2.80065669        | 5p6.6s - 5p6.6d  |  2S  - 2D  | 1/2 - 3/2 |  2 - 4  | E2 |
      455.65568      |      455.6557       | 1.84e+06  | 1.15e-02  | AA   |0.0000000     -     2.7210063         | 5p6.6s - 5p6.7p  |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |
                     |                     |           |           |      |                                      |                  |            |           |         |    |
      459.44590      |      459.4459       | 7.93e+05  | 2.51e-03  | AA   |0.0000000     -     2.6985591         | 5p6.6s - 5p6.7p  |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |
      685.07955      |      685.079677     | 2.22e+01  |           | AA   |0.0000000     -     1.809777680       | 5p6.6s - 5p6.5d  |  2S  - 2D  | 1/2 - 5/2 |  2 - 6  | E2 |
      689.69053      |      689.69053      |           |           |      |0.0000000     -     1.79767862        | 5p6.6s - 5p6.5d  |  2S  - 2D  | 1/2 - 3/2 |  2 - 4  | E2 |
      852.34727690   |      852.347276895  | 3.279e+07 | 7.143e-01 | AAA  |0.0000000     -     1.45462059962     | 5p6.6s - 5p6.6p  |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |
      894.592960982  |      894.592960982  | 2.863e+07 | 3.435e-01 | AAA  |0.0000000     -     1.385928529437    | 5p6.6s - 5p6.6p  |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
