Configuration     | Term   |   J |                Level    |
5p6.18p           | 2P*    | 1/2 |      3.828352544        |
                  |        | 3/2 |      3.82864703         |
                  |        |     |                         |
5p6.17d           | 2D     | 3/2 |      3.82941240         |
                  |        | 5/2 |      3.829492891        |
                  |        |     |                         |
5p6.19s           | 2S     | 1/2 |      3.833027369        |
                  |        |     |                         |
5p6.15f           | 2F*    | 7/2 |      3.833171685        |
                  |        | 5/2 |      3.833172828        |
                  |        |     |                         |
5p6.15g           | 2G     | 7/2 |      3.833380954        |
                  |        |     |                         |
5p6.19p           | 2P*    | 1/2 |      3.836587695        |
                  |        | 3/2 |      3.8368288          |
                  |        |     |                         |
5p6.18d           | 2D     | 3/2 |      3.83745342         |
                  |        | 5/2 |      3.837519312        |
                  |        |     |                         |
5p6.20s           | 2S     | 1/2 |      3.840422743        |
                  |        |     |                         |
5p6.16f           | 2F*    | 7/2 |      3.840540015        |
                  |        | 5/2 |      3.840540963        |
                  |        |     |                         |
5p6.16g           | 2G     | 7/2 |      3.840712935        |
                  |        |     |                         |
5p6.20p           | 2P*    | 1/2 |      3.843360           |
                  |        | 3/2 |      3.843560           |
                  |        |     |                         |
5p6.19d           | 2D     | 3/2 |      3.84407899         |
                  |        | 5/2 |      3.844133834        |
                  |        |     |                         |
5p6.21s           | 2S     | 1/2 |      3.846547960        |
                  |        |     |                         |
5p6.17f           | 2F*    | 7/2 |      3.846644565        |
                  |        | 5/2 |      3.846645352        |
                  |        |     |                         |
5p6.17g           | 2G     | 7/2 |      3.846789081        |
                  |        |     |                         |
5p6.21p           | 2P*    | 1/2 |      3.849004037        |
                  |        | 3/2 |      3.8491715          |
                  |        |     |                         |
5p6.20d           | 2D     | 3/2 |      3.84960318         |
                  |        | 5/2 |      3.849649234        |
                  |        |     |                         |
5p6.22s           | 2S     | 1/2 |      3.851678055        |
                  |        |     |                         |
5p6.18f           | 2F*    | 7/2 |      3.851758627        |
                  |        | 5/2 |      3.851759297        |
                  |        |     |                         |
5p6.18g           | 2G     | 7/2 |      3.851880619        |
                  |        |     |                         |
5p6.22p           | 2P*    | 1/2 |     [3.85375074]        |
                  |        | 3/2 |      3.853896           |
                  |        |     |                         |
5p6.21d           | 2D     | 3/2 |      3.85425715         |
                  |        | 5/2 |      3.854296181        |
                  |        |     |                         |
5p6.23s           | 2S     | 1/2 |      3.856017497        |
                  |        |     |                         |
5p6.19f           | 2F*    | 7/2 |      3.856085449        |
                  |        | 5/2 |      3.856086022        |
                  |        |     |                         |
5p6.19g           | 2G     | 7/2 |     [3.856189173]       |
                  |        |     |                         |
5p6.23p           | 2P*    | 1/2 |      3.857782636        |
                  |        | 3/2 |      3.85790328         |
                  |        |     |                         |
5p6.22d           | 2D     | 3/2 |      3.858214562        |
                  |        | 5/2 |      3.858247887        |
                  |        |     |                         |
5p6.24s           | 2S     | 1/2 |      3.859720824        |
                  |        |     |                         |
5p6.20f           | 2F*    | 7/2 |      3.859778635        |
                  |        | 5/2 |      3.859779127        |
                  |        |     |                         |
5p6.20g           | 2G     | 7/2 |      3.859867848        |
                  |        |     |                         |
5p6.24p           | 2P*    | 1/2 |     [3.86123635]        |
                  |        | 3/2 |      3.861344           |
                  |        |     |                         |
5p6.23d           | 2D     | 3/2 |      3.86160776         |
                  |        | 5/2 |      3.861636404        |
                  |        |     |                         |
5p6.25s           | 2S     | 1/2 |      3.862906538        |
                  |        |     |                         |
5p6.21f           | 2F*    | 7/2 |     [3.86295617]        |
                  |        | 5/2 |     [3.86295660]        |
                  |        |     |                         |
5p6.21g           | 2G     | 7/2 |     [3.863033195]       |
                  |        |     |                         |
5p6.25p           | 2P*    | 1/2 |      3.864217408        |
                  |        | 3/2 |      3.864307334        |
                  |        |     |                         |
5p6.24d           | 2D     | 3/2 |      3.86453941         |
                  |        | 5/2 |      3.864563894        |
                  |        |     |                         |
5p6.22f           | 2F*    | 7/2 |      3.865709762        |
                  |        | 5/2 |      3.865710134        |
                  |        |     |                         |
5p6.22g           | 2G     | 7/2 |      3.865776931        |
                  |        |     |                         |
5p6.25d           | 2D     | 3/2 |      3.867088686        |
                  |        | 5/2 |      3.867110376        |
                  |        |     |                         |
5p6.23f           | 2F*    | 7/2 |     [3.86811156]        |
                  |        | 5/2 |     [3.86811188]        |
                  |        |     |                         |
5p6.23g           | 2G     | 7/2 |     [3.868170283]       |
                  |        |     |                         |
5p6.24f           | 2F*    | 7/2 |      3.870219056        |
                  |        | 5/2 |      3.870219350        |
                  |        |     |                         |
5p6.24g           | 2G     | 7/2 |      3.870270873        |
                  |        |     |                         |
5p6.25f           | 2F*    | 7/2 |     [3.87207844]        |
                  |        | 5/2 |     [3.87207870]        |
                  |        |     |                         |
5p6.25g           | 2G     | 7/2 |     [3.872124235]       |
------------------|--------|-----|-------------------------|
                  |        |     |                         |
Cs II (5p6 1S<0>) | Limit  | --- |      3.893905471        |
