Configuration         | Term   |       J |              Level    |
3p6.18d               | 2D     |     5/2 |      4.29736274       |
                      |        |     3/2 |      4.29736361       |
                      |        |         |                       |
3p6.20s               | 2S     |     1/2 |      4.29781477       |
                      |        |         |                       |
3p6.20p               | 2P*    |     3/2 |      4.29998523       |
                      |        |         |                       |
3p6.19d               | 2D     |     5/2 |      4.30186246       |
                      |        |     3/2 |      4.30186321       |
                      |        |         |                       |
3p6.21s               | 2S     |     1/2 |      4.30224759       |
                      |        |         |                       |
3p6.21p               | 2P*    |     3/2 |      4.30409439       |
                      |        |         |                       |
3p6.20d               | 2D     |     5/2 |      4.30569567       |
                      |        |     3/2 |      4.30569630       |
                      |        |         |                       |
3p6.22s               | 2S     |     1/2 |      4.30602643       |
                      |        |         |                       |
3p6.21d               | 2D     |     5/2 |      4.30898781       |
                      |        |     3/2 |      4.30898835       |
                      |        |         |                       |
3p6.23s               | 2S     |     1/2 |      4.30927396       |
                      |        |         |                       |
3p6.22d               | 2D     |     5/2 |      4.31183611       |
                      |        |     3/2 |      4.31183658       |
                      |        |         |                       |
3p6.24s               | 2S     |     1/2 |      4.31208518       |
                      |        |         |                       |
3p6.23d               | 2D     |     5/2 |      4.31431682       |
                      |        |     3/2 |      4.31431723       |
                      |        |         |                       |
3p6.25s               | 2S     |     1/2 |      4.31453502       |
                      |        |         |                       |
3p6.24d               | 2D     |     5/2 |      4.31649065       |
                      |        |     3/2 |      4.31649102       |
                      |        |         |                       |
3p6.26s               | 2S     |     1/2 |      4.31668281       |
                      |        |         |                       |
3p6.25d               | 2D     |     5/2 |      4.31840617       |
                      |        |     3/2 |      4.31840648       |
                      |        |         |                       |
3p6.27s               | 2S     |     1/2 |      4.31857629       |
                      |        |         |                       |
3p6.26d               | 2D     |     5/2 |      4.32010271       |
                      |        |     3/2 |      4.32010299       |
                      |        |         |                       |
3p6.28s               | 2S     |     1/2 |      4.32025397       |
                      |        |         |                       |
3p6.27d               | 2D     |     5/2 |      4.32161241       |
                      |        |     3/2 |      4.32161266       |
                      |        |         |                       |
3p6.29s               | 2S     |     1/2 |      4.32174755       |
                      |        |         |                       |
3p6.28d               | 2D     |     5/2 |      4.32296178       |
                      |        |     3/2 |      4.32296202       |
                      |        |         |                       |
3p6.30s               | 2S     |     1/2 |      4.32308299       |
                      |        |         |                       |
3p6.29d               | 2D     |     5/2 |     [4.32417268]      |
                      |        |     3/2 |     [4.32417290]      |
                      |        |         |                       |
3p6.31s               | 2S     |     1/2 |     [4.32428180]      |
                      |        |         |                       |
3p6.30d               | 2D     |     5/2 |      4.32526347       |
                      |        |     3/2 |      4.32526365       |
                      |        |         |                       |
3p6.32s               | 2S     |     1/2 |      4.32536205       |
                      |        |         |                       |
3p6.31d               | 2D     |     5/2 |     [4.32624952]      |
                      |        |     3/2 |     [4.32624968]      |
                      |        |         |                       |
3p6.33s               | 2S     |     1/2 |     [4.32633887]      |
                      |        |         |                       |
3p6.32d               | 2D     |     5/2 |      4.32714380       |
                      |        |     3/2 |      4.32714395       |
                      |        |         |                       |
