Configuration    | Term   |    J |           Level    |
                 |        |      |                    |
3s2.30d          | 2D     |  3/2 |      5.9705        |
                 |        |  5/2 |      5.9705        |
                 |        |      |                    |
3s2.31d          | 2D     |  5/2 |      5.9715        |
                 |        |  3/2 |      5.9715        |
                 |        |      |                    |
3s2.32d          | 2D     |  3/2 |      5.9723        |
                 |        |  5/2 |      5.9723        |
                 |        |      |                    |
3s2.33d          | 2D     |  3/2 |      5.9732        |
                 |        |  5/2 |      5.9732        |
                 |        |      |                    |
3s2.34d          | 2D     |  5/2 |      5.9738        |
                 |        |  3/2 |      5.9738        |
-----------------|--------|------|--------------------|
                 |        |      |                    |
Al II (1S<0>)    | Limit  |  --- |      5.985755      |
