Configuration   | Term   |   J |          Level    |
                |        |     |                   |
1s2.40p         | 2P*    | 1/2 |     5.38301       |
                |        | 3/2 |     5.38301       |
                |        |     |                   |
1s2.41p         | 2P*    | 1/2 |     5.38351       |
                |        | 3/2 |     5.38351       |
                |        |     |                   |
1s2.42p         | 2P*    | 1/2 |     5.38393       |
                |        | 3/2 |     5.38393       |
----------------|--------|-----|-------------------|
                |        |     |                   |
Li II           | Limit  | --- |     5.3917191     |
