Configuration   | Term   |   J |           Level    |
                |        |     |                    |
4p6.40s         | 2S     | 1/2 |      4.16716       |
                |        |     |                    |
4p6.40p         | 2P*    | 3/2 |      4.167399      |
                |        | 1/2 |      4.167399      |
                |        |     |                    |
4p6.39d         | 2D     | 3/2 |      4.16757       |
                |        | 5/2 |      4.16757       |
                |        |     |                    |
4p6.41s         | 2S     | 1/2 |      4.16767       |
                |        |     |                    |
4p6.41p         | 2P*    | 1/2 |      4.167900      |
                |        | 3/2 |      4.167900      |
                |        |     |                    |
4p6.40d         | 2D     | 3/2 |      4.16804       |
                |        | 5/2 |      4.16804       |
                |        |     |                    |
4p6.42s         | 2S     | 1/2 |      4.16815       |
                |        |     |                    |
4p6.42p         | 2P*    | 3/2 |      4.168367      |
                |        | 1/2 |      4.168367      |
                |        |     |                    |
4p6.41d         | 2D     | 3/2 |      4.16851       |
                |        | 5/2 |      4.16851       |
                |        |     |                    |
4p6.43s         | 2S     | 1/2 |      4.16858       |
                |        |     |                    |
4p6.43p         | 2P*    | 1/2 |      4.168796      |
                |        | 3/2 |      4.168796      |
                |        |     |                    |
4p6.42d         | 2D     | 3/2 |      4.16891       |
                |        | 5/2 |      4.16891       |
                |        |     |                    |
4p6.44s         | 2S     | 1/2 |      4.16902       |
                |        |     |                    |
4p6.44p         | 2P*    | 3/2 |      4.169195      |
                |        | 1/2 |      4.169195      |
                |        |     |                    |
4p6.43d         | 2D     | 3/2 |      4.16930       |
                |        | 5/2 |      4.16930       |
                |        |     |                    |
4p6.45s         | 2S     | 1/2 |      4.16939       |
                |        |     |                    |
4p6.45p         | 2P*    | 1/2 |      4.169564      |
                |        | 3/2 |      4.169564      |
                |        |     |                    |
4p6.44d         | 2D     | 3/2 |      4.16965       |
                |        | 5/2 |      4.16965       |
                |        |     |                    |
4p6.46s         | 2S     | 1/2 |      4.16975       |
                |        |     |                    |
4p6.46p         | 2P*    | 1/2 |      4.169836      |
                |        | 3/2 |      4.169836      |
                |        |     |                    |
4p6.45d         | 2D     | 5/2 |      4.17002       |
                |        | 3/2 |      4.17002       |
                |        |     |                    |
4p6.47s         | 2S     | 1/2 |      4.17007       |
                |        |     |                    |
4p6.47p         | 2P*    | 3/2 |      4.170234      |
                |        | 1/2 |      4.170234      |
                |        |     |                    |
4p6.46d         | 2D     | 3/2 |      4.17032       |
                |        | 5/2 |      4.17032       |
                |        |     |                    |
4p6.48s         | 2S     | 1/2 |      4.17038       |
                |        |     |                    |
4p6.48p         | 2P*    | 3/2 |      4.170534      |
                |        | 1/2 |      4.170534      |
                |        |     |                    |
4p6.47d         | 2D     | 3/2 |      4.17062       |
                |        | 5/2 |      4.17062       |
                |        |     |                    |
4p6.49s         | 2S     | 1/2 |      4.17068       |
                |        |     |                    |
4p6.49p         | 2P*    | 3/2 |      4.170815      |
                |        | 1/2 |      4.170815      |
                |        |     |                    |
4p6.48d         | 2D     | 3/2 |      4.17091       |
                |        | 5/2 |      4.17091       |
                |        |     |                    |
4p6.50s         | 2S     | 1/2 |     [4.17095]      |
                |        |     |                    |
4p6.50p         | 2P*    | 1/2 |      4.171077      |
                |        | 3/2 |      4.171077      |
                |        |     |                    |
4p6.49d         | 2D     | 3/2 |      4.17114       |
                |        | 5/2 |      4.17114       |
                |        |     |                    |
4p6.51s         | 2S     | 1/2 |      4.17121       |
                |        |     |                    |
4p6.51p         | 2P*    | 3/2 |      4.171327      |
                |        | 1/2 |      4.171327      |
                |        |     |                    |
4p6.50d         | 2D     | 5/2 |      4.17141       |
                |        | 3/2 |      4.17141       |
                |        |     |                    |
4p6.52s         | 2S     | 1/2 |      4.17145       |
                |        |     |                    |
4p6.52p         | 2P*    | 1/2 |      4.171567      |
                |        | 3/2 |      4.171567      |
                |        |     |                    |
4p6.51d         | 2D     | 3/2 |      4.17163       |
                |        | 5/2 |      4.17163       |
                |        |     |                    |
4p6.53s         | 2S     | 1/2 |      4.17167       |
                |        |     |                    |
4p6.53p         | 2P*    | 3/2 |      4.171785      |
                |        | 1/2 |      4.171785      |
                |        |     |                    |
4p6.52d         | 2D     | 3/2 |      4.17186       |
                |        | 5/2 |      4.17186       |
                |        |     |                    |
4p6.54p         | 2P*    | 1/2 |      4.171985      |
                |        | 3/2 |      4.171985      |
                |        |     |                    |
4p6.53d         | 2D     | 3/2 |      4.17203       |
                |        | 5/2 |      4.17203       |
                |        |     |                    |
4p6.55p         | 2P*    | 1/2 |      4.172186      |
                |        | 3/2 |      4.172186      |
                |        |     |                    |
4p6.54d         | 2D     | 5/2 |      4.17225       |
                |        | 3/2 |      4.17225       |
                |        |     |                    |
4p6.56p         | 2P*    | 1/2 |      4.172367      |
                |        | 3/2 |      4.172367      |
                |        |     |                    |
4p6.57p         | 2P*    | 3/2 |      4.172539      |
                |        | 1/2 |      4.172539      |
                |        |     |                    |
4p6.58p         | 2P*    | 1/2 |      4.172702      |
                |        | 3/2 |      4.172702      |
                |        |     |                    |
4p6.59p         | 2P*    | 1/2 |      4.172860      |
                |        | 3/2 |      4.172860      |
                |        |     |                    |
4p6.60p         | 2P*    | 3/2 |      4.173004      |
                |        | 1/2 |      4.173004      |
                |        |     |                    |
4p6.61p         | 2P*    | 3/2 |      4.173145      |
                |        | 1/2 |      4.173145      |
                |        |     |                    |
4p6.62p         | 2P*    | 3/2 |      4.173283      |
                |        | 1/2 |      4.173283      |
                |        |     |                    |
4p6.63p         | 2P*    | 3/2 |      4.173410      |
                |        | 1/2 |      4.173410      |
                |        |     |                    |
4p6.64p         | 2P*    | 1/2 |      4.173532      |
                |        | 3/2 |      4.173532      |
                |        |     |                    |
4p6.65p         | 2P*    | 3/2 |      4.173646      |
                |        | 1/2 |      4.173646      |
                |        |     |                    |
4p6.66p         | 2P*    | 1/2 |      4.173758      |
                |        | 3/2 |      4.173758      |
                |        |     |                    |
4p6.67p         | 2P*    | 1/2 |      4.173863      |
                |        | 3/2 |      4.173863      |
                |        |     |                    |
4p6.68p         | 2P*    | 1/2 |      4.173962      |
                |        | 3/2 |      4.173962      |
                |        |     |                    |
4p6.69p         | 2P*    | 1/2 |      4.174057      |
